"idpub","brdxdy","sexrsp","deatyr","POP57","PI5760","DGLEV","EDYRCM","YRER74","RU024REC","MZ023RER","GI503RE","gu024re","IZ023RER","HD201KD","hi503rea","HU024RE","jz023rer","q1i503rea","Q1U024RE","q1c003re","q1z023rer"
927005,1939,2,2009,5,108,1,2,0,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
927006,1939,2,-2,5,79,-2,-2,0,0,0,8,0,0,3,6,-2,0,10,2,1,5
927009,1939,1,-2,4,34,2,4,25,0,4,9,0,4,NA,NA,NA,NA,NA,NA,NA,NA
927014,1939,1,-2,6,50,-2,2,0,-2,1,-2,-2,2,3,-2,-2,1,0,-2,1,0
927015,1937,1,1986,2,56,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
927016,1939,2,-2,5,38,-2,-2,0,-2,1,-2,-2,NA,10,-2,-2,0,NA,NA,NA,NA
927027,1938,2,-2,3,79,-2,-2,0,0,4,NA,NA,8,4,0,-2,4,0,-2,1,1
927028,1939,1,1957,2,-3,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
927031,1939,1,-2,9,92,2,4,165,-2,4,NA,NA,NA,4,-2,-2,-29,NA,NA,NA,NA
927041,1939,1,-2,4,37,-3,-3,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
927042,1939,1,-2,9,-3,-2,4,240,0,0,7,0,0,2,-30,-30,0,8,-2,1,0
